"archive","poc"
"GEO3BCN-CSIC","curator@geo3bcn.csic.es"
"Gulf Coast Repository","curator@iodp.tamu.edu"
"IODP Gulf Coast Repository","curator@iodp.tamu.edu"
"Gulf Coast Repository (https://iodp.tamu.edu/curation/gcr/index.html)","curator@iodp.tamu.edu"
"IODP Kochi Core Facility","curator@jamstec.go.jp"
"IODP Kochi Repository, Japan","curator@jamstec.go.jp"
"Kochi Core Center","curator@jamstec.go.jp"
"British Geological Survey, NERC Isotope Geosciences Laboratory (NIGL)","D. Sahy (dihy@bgs.ac.uk)"
"University of Hull","d.bond@hull.ac.uk"
"LDEO","Dallas Abbott"
"Lamont-Doherty Earth Observatory (LDEO)","Dallas Abbott"
"Universidade Federal de Santa Maria, Department of Soil","dalmolinrsd@gmail.com"
"Princeton U.","Daniel Sigman"
"Princeton University (Princeton)","Daniel Sigman"
"Geochron.org","daniel.brennan1@postgrad.curtin.edu.au"
"Savannah River National Lab","daniel.kaplan@srnl.doe.gov"
"Lamont-Doherty Earth Observatory","danielr@ldeo.columbia.edu"
"StFX University","darchiba@stfx.ca"
"BSU","DARINSCHWARTZ@boisestate.edu"
"Pete Phillips Wood Utilization Laboratory, 165 Phoenix Road, Rm 111, Athens, GA 30602","darke@uga.edu"
NULL,"darke@uga.edu"
"NOAA PMEL EOI Program","Dave Butterfield"
NULL,"David Bell"
"MBARI","David Clague"
NULL,"David Felix dfel@sbcglobal.net"
"Harvard University (Harvard)","David Ferguson"
"University of Leeds","David Ferguson"
"Harvard University","David Ferguson"
"Canbridge","David Hodell"
"University of Connecticut","David Lund"
"CAROTHEQUE UNIVERSITE DE BORDEAUX UMR EPOC","David MENIER david.menier@univ-ubs.fr"
"U.S. Geological Survey (USGS)","David Miller"
"Durham University, UK","David Selby, david.selby@durham.ac.uk"
NULL,"David Thornalley"
"University College London","David Thornalley"
"University College London ","David Thornalley"
"Geological Survey of Newfoundland and Labrador","DavidDiekrup@gov.nl.ca"
"Geological Survey of Alabama","davidkm@gsa.state.al.us"
"Tectonics & Sedimentation Laboratory, University of South Carolina","dbarbeau@geol.sc.edu"
"University of Noth Carolina at Chapel Hill Dept. of Geological Sciences; Chapel Hill, NC","dcoleman@email.unc.edu"
"Dept. of Geological Sciences, University of North Carolina; Chapel Hill, NC","dcoleman@unc.edu"
"University of North Carolina at Chapel Hill, Department of Geological Sciences","dcoleman@unc.edu"
"with Collector; additional at University at Buffalo and Smithsonian Natural History Museum","dcs34@buffalo.edu"
"US Forest Service Pacific Northwest Research Station ","ddamore@fs.fed.us"
"US Forest Service Pacific Northwest Research Station","ddamore@fs.fed.us"
"Western Washington University","debari@wwu.edu"
"SOEST, University of Hawaii at Manoa; Honolulu, HI","Deborah Eason, deborahe@hawaii.edu"
"SOEST, University of Hawaii at Manoa, Honolulu, HI","deborahe@hawaii.edu"
"EDYTEM UMR5204 (ISNI:0000 0001 2109 3638)","DEBRET M curateur-edytem@univ-savoie.fr"
"Louisiana State University","DeCesare"
"Woods Hole Oceanographic Institution (WHOI)","Delia Oppo/William Curry"
NULL,"Dennis Kent"
"American Museum of Natural History","Denton Ebel"
"Wellesley College","Dept of Geosciences, Wellesley College, 106 Central St Wellesley, MA 02481"
"Oregon State University","desilvas@geo.oregonstate.edu"
"Montana State University ","devon.orme@montana.edu"
"Geographisches Institut - Department für Geowissenschaften; Universität zu Köln; D-50931 Köln","dgademann@outlook.de"
"University of Cologne, Institute of Geography","dgademann@outlook.de"
"University of Cologne, Department of Geography","dgademann@outlook.de"
"Dalhousie University","dgrujic@dal.ca"
"Wellesley College","dhawkins@wellesley.edu"
NULL,"dhebbeln@marum.de"
"Geological Survey of Alabama/State Oil and Gas Board of Alabama (GSA/OGB)","dhills@gsa.state.al.us"
"Geological Survey of Alabama","dhills@gsa.state.al.us"
"Cal State Fullerton","Diane Clemens-Knott"
"BGS-NIGL","dihy@bgs.ac.uk"
"Birbal Sahni Institute of Palaeosciences","Divya Verma"
"Dave Kohlstedt, University of Minnesota","dlkohl at umn.edu"
"JAMSTEC","dmo@jamstec.go.jp "
"University of South Florida","Domack"
"EDYTEM UMR5204 (ISNI:0000 0001 2109 3638)","DOMAIZON I (ORCID:0000-0001-9785-3082)"
"University of Southern Denmark--Department of Biology","Don Canfield"
"University of California – Berkeley","Don DePaolo"
"Stanford University (Stanford)","Don Lowe, drlowe@stanford.edu"
"LDEO","Dorothy Peteet"
"GEO3BCN-CSIC","dpedrazzi@geo3bcn.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 12","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 77","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 76","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 75","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 74","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 66","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 80","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 65","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 64","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 81","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 63","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 62","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 61","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 60","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 82","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 59","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 58","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 57","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 56","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 55","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 54","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 83","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 53","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 52","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 85","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 51","dpedrazzi@ictja.csic.es"
"Geosciences Barcelona (GEO3BCN - CSIC)","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 50","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 49","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 48","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 47","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 46","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 45","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 44","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 43","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 42","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 41","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 40","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 39","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 38","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 37","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 36","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 35","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 34","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 33","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 32","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 86","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 31","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 29","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 87","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 28","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 88","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 27","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 89","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 26","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 90","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 25","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 91","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 24","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 23","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 92","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 22","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 21","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 93","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 20","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 94","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 19","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 95","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 18","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 10","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 100","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 17","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 101","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 103","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 104","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 105","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 106","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 107","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 108","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 109","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 16","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 11","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 96","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 110","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 15","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 111","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 112","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 113","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 114","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 115","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 99","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 116","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 14","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 98","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 97","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 13","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 73","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 72","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 71","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 70","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 78","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 69","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 68","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 79","dpedrazzi@ictja.csic.es"
"Institute of Earth Sciences Jaume Almera (ICTJA-CSIC) Carrer de Lluís Solé i Sabarís, s/n, 08028 Barcelona, Spain +34 93 409 54 67","dpedrazzi@ictja.csic.es"
NULL,"dpli@cugb.edu.cn"
"University of Hawaii at Manoa (UH Manoa)","Dr Craig Smith"
"Department of Earth Sciences, Indian Institute of Technology Kanpur, Kanpur UP 208016, India","Dr Indra S. Sen, Associate Professor"
"Drexel University","Dr Loÿc Vanderkluysen"
"National Museums Collection Centre, Mineral Collection","Dr Rachel Walcott"
"Middlebury College","Dr. Allison W. Jacobel"
"University of Quebec at Montreal","Dr. Anne de Vernal"
"University of Iowa","Dr. Bradley Cramer"
"Texas A&M Univ., Dept. of Geology and Geophysics, 3115 TAMU, College Station TX 77843-3115","Dr. Brent V. Miller, Texas A&M Univ., Dept. of Geology and Geophysics, 3115 TAMU, College Station TX 77843-3115, bvmiller@geos.tamu.edu, (979) 458-3671"
"British Antarctic Survey","Dr. Claus-Dieter Hillenbrand"
"University of Cambridge, Department of Geography (CAM-GEOG)","Dr. Clive Oppenheimer"
NULL,"Dr. Curtis Marean"
"Universidad Nacional Autónoma de México (UNAM)","Dr. Elsa Arellano-Torres"
"UNLV Department of Geoscience","Dr. Eugene Smith"
"UNLV","Dr. Eugene Smith"
"Indian Institute of Science Education and Research","Dr. Gyana Ranjan Tripathy"
NULL,"Dr. James Evans"
NULL,"Dr. James Evans  Utah State University"
NULL,"Dr. James Evans Utah State University"
NULL,"Dr. James Evans, Utah State University"
"Northern Illinois University Department of Geology","Dr. Justin Dodd jdodd@niu.edu"
"University of Tennessee Knoxville","Dr. Linda Kah"
"University of Kansas","Dr. Marina Suarez; mb.suarez@ku.edu"
"University of Toronto","Dr. Melissa Anderson"
"Birbal Sahni Institute of Palaeosciences","Dr. Pawan Govil"
"Complutense University of Madrid, Spain","Dr. Raul Merinero"
"Tongji University, School of Ocean and Earth Science","Dr. Simon Hohl"
"GEOMAR Helmholtz Centre for Ocean Research","Dr. Sven Petersen"
"Syracuse University","Dr. Tripti Bhattacharya"
"IEO Malaga, Spain","Dr. Victor Diaz del Río"
"physical evidence as sonar date of an Island ","dr.t@dr.com"
"c2news.site","dr.t@dr.com"
"University of Wisconsin-Milwaukee","drcordie@uwm.edu"
"University of North Carolina at Chapel Hill (UNC)","Drew Coleman"
"Department of Geology, Bryn Mawr College, Bryn Mawr, PA, 19010, USA","Drew Mirante"
"Duke University, A205 Lab; Lev Sci Res Ctr, Science Drive, Durham, NC 27708","drichter@duke.edu"
"Duke University, Durham, NC 27708","drichter@duke.edu"
"University of Pennsylvania; Dept. Earth & Environmental Science Permanent Collections","drvann@sas.upenn.edu"
"University of Wollongong","dtanner@uow.edu.au"
"Simon Fraser University","Dthorkel@sfu.ca"
"CAROTHEQUE UNIVERSITE DE BORDEAUX UMR EPOC","DUCASSOU Emmanuelle emmanuelle.ducassou@u-bordeaux.fr"
"University of Arizona, Department of Geosciences","ducea@email.arizona.edu; kemurray@email.arizona.edu"
NULL,"dustin.sweet@ttu.edu"
NULL,"Dustin.sweet@ttu.edu"
"University of Wisconsin - Madison","dutton3@wisc.edu"
"University of Wisconsin-Madison","dutton3@wisc.edu"
"Lamont-Doherty Earth Observatory","dwalker@ldeo.columbia.edu"
"University of Minnesota – Twin Cities","dwhitney@umn.edu"
"Tufts University","dylan.vasey@tufts.edu"
NULL,"E. Toth"
"University of British Columbia","e.brown@oceans.ubc.ca"
"Simon Fraser University","eas15@sfu.ca"
"Colorado School of Mines","ebora@mines.edu"
